Description;Valence Mean
bathroom;5,55
body;5,55
detail;5,55
name;5,55
ship;5,55
museum;5,54
farm;5,53
repentant;5,53
writer;5,52
boxer;5,51
avenue;5,5
glacier;5,5
truck;5,47
activate;5,46
hat;5,46
tower;5,46
basket;5,45
masturbate;5,45
spray;5,45
elevator;5,44
violin;5,43
lamp;5,41
banner;5,4
black;5,39
quart;5,39
wagon;5,37
reverent;5,35
arm;5,34
poster;5,34
bowl;5,33
butter;5,33
sphere;5,33
time;5,31
fabric;5,3
industry;5,3
news;5,3
theory;5,3
building;5,29
chin;5,29
egg;5,29
finger;5,29
fork;5,29
patent;5,29
patient;5,29
passage;5,28
ankle;5,27
hairpin;5,26
item;5,26
material;5,26
vest;5,25
hay;5,24
headlight;5,24
history;5,24
jug;5,24
lawn;5,24
office;5,24
cork;5,22
hard;5,22
kettle;5,22
pencil;5,22
street;5,22
table;5,22
concentrate;5,2
context;5,2
doctor;5,2
engine;5,2
paper;5,2
locker;5,19
tool;5,19
busybody;5,17
column;5,17
phase;5,17
statue;5,17
tank;5,16
umbrella;5,16
month;5,15
clock;5,14
journal;5,14
swamp;5,14
utensil;5,14
door;5,13
elbow;5,12
kerchief;5,11
part;5,11
aggressive;5,1
appliance;5,1
cord;5,1
ennui;5,09
machine;5,09
trunk;5,09
chair;5,08
rain;5,08
serious;5,08
pig;5,07
barrel;5,05
cabinet;5,05
inhabitant;5,05
ink;5,05
scissors;5,05
hospital;5,04
rattle;5,03
foot;5,02
hydrant;5,02
noisy;5,02
taxi;5
stove;4,98
icebox;4,95
metal;4,95
seat;4,95
storm;4,95
mantel;4,93
nun;4,93
aloof;4,9
cannon;4,9
iron;4,9
blase;4,89
contents;4,89
corridor;4,88
hammer;4,88
reserved;4,88
hairdryer;4,84
tease;4,84
volcano;4,84
curtains;4,83
board;4,82
odd;4,82
stomach;4,82
anxious;4,81
razor;4,81
kerosene;4,8
pamphlet;4,79
reptile;4,77
glass;4,75
nonchalant;4,74
rough;4,74
square;4,74
thermometer;4,73
army;4,72
dark;4,71
stiff;4,68
cliff;4,67
lesbian;4,67
radiator;4,67
subdued;4,67
slush;4,66
knot;4,64
shy;4,64
bench;4,61
indifferent;4,61
nonsense;4,61
errand;4,58
bereavement;4,57
lightning;4,57
stool;4,56
coarse;4,55
bandage;4,54
obey;4,52
obsession;4,52
skeptical;4,52
bus;4,51
fur;4,51
startled;4,5
alley;4,48
neurotic;4,45
muddy;4,44
embattled;4,39
plain;4,39
lazy;4,38
shotgun;4,37
corner;4,36
heroin;4,36
insolent;4,35
shadow;4,35
rancid;4,34
hit;4,33
cellar;4,32
hide;4,32
solemn;4,32
kick;4,31
vanity;4,3
narcotic;4,29
derelict;4,28
skull;4,27
absurd;4,26
defiant;4,26
vampire;4,26
beast;4,23
obscene;4,23
pistol;4,2
overwhelmed;4,19
chaos;4,17
dirt;4,17
lump;4,16
stagnant;4,15
revolt;4,13
listless;4,12
habit;4,11
bland;4,1
tamper;4,1
fall;4,09
insect;4,07
excuse;4,05
python;4,05
cold;4,02
dentist;4,02
haphazard;4,02
revolver;4,02
rifle;4,02
cane;4
clumsy;4
dustpan;3,98
prick;3,98
weapon;3,97
alimony;3,95
pungent;3,95
shriek;3,93
slow;3,93
sour;3,93
madman;3,91
mutation;3,91
mangle;3,9
scream;3,88
meek;3,87
detached;3,86
rusty;3,86
timid;3,86
contempt;3,85
pinch;3,83
cell;3,82
needle;3,82
hinder;3,81
controlling;3,8
weary;3,79
fight;3,76
maniac;3,76
noose;3,76
resent;3,76
scorching;3,76
suspicious;3,76
blasphemy;3,75
arrogant;3,69
scorpion;3,69
disdainful;3,68
scapegoat;3,67
disturb;3,66
rigid;3,66
overcast;3,65
shark;3,65
cut;3,64
thorn;3,64
knife;3,62
cyclone;3,6
grenade;3,6
hungry;3,58
nasty;3,58
termite;3,58
tense;3,56
mold;3,55
spanking;3,55
blubber;3,52
outrage;3,52
greed;3,51
abortion;3,5
frigid;3,5
immoral;3,5
obnoxious;3,5
gossip;3,48
gun;3,47
crutch;3,43
fault;3,43
immature;3,39
dagger;3,38
dummy;3,38
pressure;3,38
scar;3,38
grime;3,37
lawsuit;3,37
pity;3,37
wasp;3,37
bastard;3,36
snob;3,36
carcass;3,34
hooker;3,34
hurricane;3,34
mucus;3,34
spider;3,33
corrupt;3,32
scandal;3,32
snake;3,31
avalanche;3,29
bullet;3,29
handicap;3,29
nervous;3,29
fatigued;3,28
tobacco;3,28
nuisance;3,27
FALSE;3,27
feeble;3,26
urine;3,25
evil;3,23
beggar;3,22
fire;3,22
confused;3,21
dump;3,21
bees;3,2
decompose;3,2
moody;3,2
severe;3,2
flood;3,19
scurvy;3,19
impair;3,18
mildew;3,17
destruction;3,16
idiot;3,16
messy;3,15
gripe;3,14
sissy;3,14
pest;3,13
ridicule;3,13
crude;3,12
panic;3,12
irritate;3,11
manure;3,1
assassin;3,09
dirty;3,08
allergy;3,07
delayed;3,07
ignorance;3,07
inferior;3,07
fungus;3,06
blind;3,05
broken;3,05
damage;3,05
dreary;3,05
invader;3,05
embarrassed;3,03
trouble;3,03
rat;3,02
scornful;3,02
discouraged;3
stink;3
garbage;2,98
riot;2,96
wicked;2,96
blackmail;2,95
bored;2,95
danger;2,95
slap;2,95
tomb;2,94
criminal;2,93
quarrel;2,93
sinful;2,93
waste;2,93
bloody;2,9
deceit;2,9
crime;2,89
blister;2,88
menace;2,88
morbid;2,87
germs;2,86
mistake;2,86
pus;2,86
surgery;2,86
angry;2,85
insane;2,85
alcoholic;2,84
scorn;2,84
penalty;2,83
lost;2,82
scalding;2,82
cockroach;2,81
foul;2,81
impotent;2,81
louse;2,81
brutal;2,8
mosquito;2,8
sin;2,8
displeased;2,79
lie;2,79
pervert;2,79
scared;2,78
intruder;2,77
abduction;2,76
fear;2,76
fever;2,76
horror;2,76
offend;2,76
annoy;2,74
coward;2,74
crisis;2,74
measles;2,74
burn;2,73
hostile;2,73
obesity;2,73
vandal;2,71
malice;2,69
slime;2,68
venom;2,68
fraud;2,67
trash;2,67
flabby;2,66
destroy;2,64
cemetery;2,63
guilty;2,63
neglect;2,63
robber;2,61
coffin;2,56
tornado;2,55
smallpox;2,52
addicted;2,51
jealousy;2,51
wounds;2,51
burdened;2,5
rude;2,5
shamed;2,5
injury;2,49
addict;2,48
frustrated;2,48
guillotine;2,48
illness;2,48
ambulance;2,47
filth;2,47
ache;2,46
enraged;2,46
deserter;2,45
disgusted;2,45
hardship;2,45
mad;2,44
agony;2,43
despairing;2,43
scum;2,43
ugly;2,43
selfish;2,42
alone;2,41
deformed;2,41
rage;2,41
malaria;2,4
disappoint;2,39
slum;2,39
starving;2,39
putrid;2,38
execution;2,37
insecure;2,36
tumor;2,36
roach;2,35
anger;2,34
defeated;2,34
crash;2,31
lice;2,31
stupid;2,31
whore;2,3
insult;2,29
violent;2,29
fat;2,28
gangrene;2,28
massacre;2,28
regretful;2,28
dreadful;2,26
rotten;2,26
fearful;2,25
loser;2,25
sickness;2,25
hell;2,24
humiliate;2,24
crucify;2,23
debt;2,22
divorce;2,22
punishment;2,22
traitor;2,22
crushed;2,21
devil;2,21
helpless;2,2
hostage;2,2
discomfort;2,19
stench;2,19
corpse;2,18
victim;2,18
detest;2,17
lonely;2,17
troubled;2,17
pain;2,13
thief;2,13
useless;2,13
anguished;2,12
hate;2,12
demon;2,11
bomb;2,1
toxic;2,1
trauma;2,1
leprosy;2,09
stress;2,09
war;2,08
maggot;2,06
vomit;2,06
accident;2,05
burial;2,05
prison;2,05
seasick;2,05
unfaithful;2,05
assault;2,03
despise;2,03
headache;2,02
afraid;2
bankrupt;2
upset;2
hatred;1,98
paralysis;1,98
poison;1,98
toothache;1,98
cruel;1,97
jail;1,95
dead;1,94
distressed;1,94
disloyal;1,93
misery;1,93
terrible;1,93
drown;1,92
morgue;1,92
nightmare;1,91
hurt;1,9
sick;1,9
killer;1,89
gloom;1,88
depression;1,85
pollute;1,85
slave;1,84
depressed;1,83
mutilate;1,82
abuse;1,8
tragedy;1,78
ulcer;1,78
rabies;1,77
disaster;1,73
terrified;1,72
failure;1,7
grief;1,69
terrorist;1,69
betray;1,68
syphilis;1,68
poverty;1,67
infection;1,66
slaughter;1,64
death;1,61
loneliness;1,61
sad;1,61
unhappy;1,57
suffocate;1,56
torture;1,56
murderer;1,53
cancer;1,5
rejected;1,5
funeral;1,39
rape;1,25
suicide;1,25
arse;1,25
ass;1,25
asshole;1,25
bastard;1,25
bitch;1,25
bollocks;1,25
brotherfucker;1,25
bugger;1,25
bullshit;1,25
cocksucker;1,25
crap;1,25
cunt;1,25
damn;1,25
fuck;1,25
goddamn;1,25
hell;1,25
shit;1,25
piss;1,25
prick;1,25
slut;1,25
twat;1,25
